LocationTime,LOCATION,INDICATOR,TIME,Value
AUT-2009,AUT,EDUADULT,2009,26.895824
AUT-2010,AUT,EDUADULT,2010,27.743721
AUT-2011,AUT,EDUADULT,2011,27.956152
AUT-2012,AUT,EDUADULT,2012,28.739943
AUT-2013,AUT,EDUADULT,2013,29.738844
AUT-2014,AUT,EDUADULT,2014,29.904896
AUT-2015,AUT,EDUADULT,2015,30.550726
AUT-2016,AUT,EDUADULT,2016,31.383963
AUT-2017,AUT,EDUADULT,2017,32.39439
AUT-2018,AUT,EDUADULT,2018,32.711426
AUT-2019,AUT,EDUADULT,2019,33.773777
AUT-2020,AUT,EDUADULT,2020,34.205894
AUT-2004,AUT,EDUADULT,2004,51.550304
AUT-2005,AUT,EDUADULT,2005,52.305584
AUT-2006,AUT,EDUADULT,2006,54.771961
AUT-2007,AUT,EDUADULT,2007,54.844437
AUT-2008,AUT,EDUADULT,2008,54.688057
AUT-2009,AUT,EDUADULT,2009,54.749195
AUT-2010,AUT,EDUADULT,2010,54.608784
AUT-2011,AUT,EDUADULT,2011,54.407017
AUT-2012,AUT,EDUADULT,2012,54.176529
AUT-2013,AUT,EDUADULT,2013,53.233154
AUT-2014,AUT,EDUADULT,2014,53.951103
AUT-2015,AUT,EDUADULT,2015,54.097969
AUT-2016,AUT,EDUADULT,2016,53.144444
AUT-2017,AUT,EDUADULT,2017,52.568035
AUT-2018,AUT,EDUADULT,2018,52.586048
AUT-2019,AUT,EDUADULT,2019,51.790359
AUT-2020,AUT,EDUADULT,2020,51.452774
BEL-1991,BEL,EDUADULT,1991,56.83075
BEL-1992,BEL,EDUADULT,1992,54.736912
BEL-1994,BEL,EDUADULT,1994,50.637184
BEL-1995,BEL,EDUADULT,1995,46.545418
BEL-2000,BEL,EDUADULT,2000,41.47678
BEL-2001,BEL,EDUADULT,2001,40.536442
BEL-2002,BEL,EDUADULT,2002,39.196617
BEL-2003,BEL,EDUADULT,2003,37.952141
BEL-2004,BEL,EDUADULT,2004,35.708241
BEL-2005,BEL,EDUADULT,2005,33.903755
BEL-2006,BEL,EDUADULT,2006,33.057926
BEL-2007,BEL,EDUADULT,2007,32.046577
BEL-2008,BEL,EDUADULT,2008,30.423817
BEL-2009,BEL,EDUADULT,2009,29.427107
BEL-2010,BEL,EDUADULT,2010,29.500488
BEL-2011,BEL,EDUADULT,2011,28.733294
BEL-2012,BEL,EDUADULT,2012,28.356371
BEL-2013,BEL,EDUADULT,2013,27.241648
BEL-2014,BEL,EDUADULT,2014,26.44935
BEL-2015,BEL,EDUADULT,2015,25.322903
BEL-2016,BEL,EDUADULT,2016,24.905834
BEL-2017,BEL,EDUADULT,2017,23.202787
BEL-2018,BEL,EDUADULT,2018,21.773218
BEL-2019,BEL,EDUADULT,2019,21.313864
