LocationTime,LOCATION,INDICATOR,SUBJECT,TIME,Value
FIN-2010,FIN,OVEROBESE,SELFREPORTED,2010,49.7
FIN-2011,FIN,OVEROBESE,SELFREPORTED,2011,50.8
FIN-2012,FIN,OVEROBESE,SELFREPORTED,2012,49.4
FIN-2013,FIN,OVEROBESE,SELFREPORTED,2013,49.9
FIN-2014,FIN,OVEROBESE,SELFREPORTED,2014,52.1
FIN-2015,FIN,OVEROBESE,SELFREPORTED,2015,56.0
FIN-2016,FIN,OVEROBESE,SELFREPORTED,2016,56.0
FIN-2017,FIN,OVEROBESE,SELFREPORTED,2017,57.0
FIN-2018,FIN,OVEROBESE,SELFREPORTED,2018,55.0
FIN-2019,FIN,OVEROBESE,SELFREPORTED,2019,57.0
FIN-2020,FIN,OVEROBESE,SELFREPORTED,2020,60.0
FRA-1990,FRA,OVEROBESE,SELFREPORTED,1990,29.7
FRA-1991,FRA,OVEROBESE,SELFREPORTED,1991,29.8
FRA-1992,FRA,OVEROBESE,SELFREPORTED,1992,30.9
FRA-1993,FRA,OVEROBESE,SELFREPORTED,1993,31.5
FRA-1994,FRA,OVEROBESE,SELFREPORTED,1994,30.5
FRA-1995,FRA,OVEROBESE,SELFREPORTED,1995,33.4
FRA-1996,FRA,OVEROBESE,SELFREPORTED,1996,35.2
FRA-1997,FRA,OVEROBESE,SELFREPORTED,1997,33.4
FRA-1998,FRA,OVEROBESE,SELFREPORTED,1998,34.4
FRA-2000,FRA,OVEROBESE,SELFREPORTED,2000,36.2
FRA-2002,FRA,OVEROBESE,SELFREPORTED,2002,37.5
FRA-2004,FRA,OVEROBESE,SELFREPORTED,2004,34.7
FRA-2006,FRA,OVEROBESE,SELFREPORTED,2006,37.0
FRA-2008,FRA,OVEROBESE,SELFREPORTED,2008,39.2
FRA-2010,FRA,OVEROBESE,SELFREPORTED,2010,42.9
FRA-2012,FRA,OVEROBESE,SELFREPORTED,2012,44.4
FRA-2014,FRA,OVEROBESE,SELFREPORTED,2014,46.1
FRA-2017,FRA,OVEROBESE,SELFREPORTED,2017,46.1
FRA-2019,FRA,OVEROBESE,SELFREPORTED,2019,45.3
DEU-1999,DEU,OVEROBESE,SELFREPORTED,1999,47.7
DEU-2003,DEU,OVEROBESE,SELFREPORTED,2003,49.2
DEU-2005,DEU,OVEROBESE,SELFREPORTED,2005,49.6
DEU-2009,DEU,OVEROBESE,SELFREPORTED,2009,51.4
DEU-2013,DEU,OVEROBESE,SELFREPORTED,2013,52.4
DEU-2014,DEU,OVEROBESE,SELFREPORTED,2014,50.7
DEU-2017,DEU,OVEROBESE,SELFREPORTED,2017,52.7
DEU-2019,DEU,OVEROBESE,SELFREPORTED,2019,52.1
GRC-2006,GRC,OVEROBESE,SELFREPORTED,2006,57.7
GRC-2008,GRC,OVEROBESE,SELFREPORTED,2008,58.3
GRC-2009,GRC,OVEROBESE,SELFREPORTED,2009,55.8
GRC-2014,GRC,OVEROBESE,SELFREPORTED,2014,56.2
GRC-2019,GRC,OVEROBESE,SELFREPORTED,2019,57.2
HUN-2009,HUN,OVEROBESE,MEASURED,2009,61.6
HUN-2014,HUN,OVEROBESE,MEASURED,2014,62.3
HUN-2019,HUN,OVEROBESE,MEASURED,2019,67.6
HUN-2000,HUN,OVEROBESE,SELFREPORTED,2000,51.4
HUN-2003,HUN,OVEROBESE,SELFREPORTED,2003,52.8
HUN-2009,HUN,OVEROBESE,SELFREPORTED,2009,54.1
HUN-2014,HUN,OVEROBESE,SELFREPORTED,2014,54.5
HUN-2019,HUN,OVEROBESE,SELFREPORTED,2019,58.2
ISL-1990,ISL,OVEROBESE,SELFREPORTED,1990,36.5
ISL-2002,ISL,OVEROBESE,SELFREPORTED,2002,48.3
ISL-2007,ISL,OVEROBESE,SELFREPORTED,2007,60.2
ISL-2010,ISL,OVEROBESE,SELFREPORTED,2010,58.5
ISL-2012,ISL,OVEROBESE,SELFREPORTED,2012,63.3
ISL-2015,ISL,OVEROBESE,SELFREPORTED,2015,55.3
ISL-2019,ISL,OVEROBESE,SELFREPORTED,2019,58.5
IRL-2007,IRL,OVEROBESE,MEASURED,2007,61.0
IRL-2015,IRL,OVEROBESE,MEASURED,2015,61.0
IRL-2017,IRL,OVEROBESE,MEASURED,2017,62.0
IRL-2019,IRL,OVEROBESE,MEASURED,2019,61.0
IRL-1998,IRL,OVEROBESE,SELFREPORTED,1998,43.0
IRL-2002,IRL,OVEROBESE,SELFREPORTED,2002,48.0
IRL-2007,IRL,OVEROBESE,SELFREPORTED,2007,51.0
IRL-2015,IRL,OVEROBESE,SELFREPORTED,2015,53.0
IRL-2019,IRL,OVEROBESE,SELFREPORTED,2019,56.0
ITA-1994,ITA,OVEROBESE,SELFREPORTED,1994,38.1
ITA-1999,ITA,OVEROBESE,SELFREPORTED,1999,41.2
ITA-2000,ITA,OVEROBESE,SELFREPORTED,2000,41.1
ITA-2001,ITA,OVEROBESE,SELFREPORTED,2001,42.4
ITA-2002,ITA,OVEROBESE,SELFREPORTED,2002,42.0
ITA-2003,ITA,OVEROBESE,SELFREPORTED,2003,42.6
ITA-2005,ITA,OVEROBESE,SELFREPORTED,2005,44.6
ITA-2006,ITA,OVEROBESE,SELFREPORTED,2006,45.1
ITA-2007,ITA,OVEROBESE,SELFREPORTED,2007,45.5
ITA-2008,ITA,OVEROBESE,SELFREPORTED,2008,45.5
ITA-2009,ITA,OVEROBESE,SELFREPORTED,2009,46.3
ITA-2010,ITA,OVEROBESE,SELFREPORTED,2010,46.0
ITA-2011,ITA,OVEROBESE,SELFREPORTED,2011,45.8
ITA-2012,ITA,OVEROBESE,SELFREPORTED,2012,46.0
ITA-2013,ITA,OVEROBESE,SELFREPORTED,2013,45.8
ITA-2014,ITA,OVEROBESE,SELFREPORTED,2014,46.4
ITA-2015,ITA,OVEROBESE,SELFREPORTED,2015,45.2
ITA-2016,ITA,OVEROBESE,SELFREPORTED,2016,45.9
ITA-2017,ITA,OVEROBESE,SELFREPORTED,2017,46.0
ITA-2018,ITA,OVEROBESE,SELFREPORTED,2018,46.1
ITA-2019,ITA,OVEROBESE,SELFREPORTED,2019,46.4
ITA-2020,ITA,OVEROBESE,SELFREPORTED,2020,47.6
JPN-1990,JPN,OVEROBESE,MEASURED,1990,22.0
JPN-1991,JPN,OVEROBESE,MEASURED,1991,22.4
JPN-1992,JPN,OVEROBESE,MEASURED,1992,22.7
JPN-1993,JPN,OVEROBESE,MEASURED,1993,22.8
JPN-1994,JPN,OVEROBESE,MEASURED,1994,21.5
JPN-1995,JPN,OVEROBESE,MEASURED,1995,22.2
JPN-1996,JPN,OVEROBESE,MEASURED,1996,21.9
JPN-1997,JPN,OVEROBESE,MEASURED,1997,22.0
JPN-1998,JPN,OVEROBESE,MEASURED,1998,23.6
JPN-1999,JPN,OVEROBESE,MEASURED,1999,23.1
JPN-2000,JPN,OVEROBESE,MEASURED,2000,23.8
JPN-2001,JPN,OVEROBESE,MEASURED,2001,24.4
JPN-2002,JPN,OVEROBESE,MEASURED,2002,25.7
JPN-2003,JPN,OVEROBESE,MEASURED,2003,24.7
JPN-2004,JPN,OVEROBESE,MEASURED,2004,24.0
JPN-2005,JPN,OVEROBESE,MEASURED,2005,24.9
JPN-2006,JPN,OVEROBESE,MEASURED,2006,25.1
JPN-2007,JPN,OVEROBESE,MEASURED,2007,24.8
JPN-2008,JPN,OVEROBESE,MEASURED,2008,24.2
JPN-2009,JPN,OVEROBESE,MEASURED,2009,25.1
JPN-2010,JPN,OVEROBESE,MEASURED,2010,25.3
JPN-2011,JPN,OVEROBESE,MEASURED,2011,25.5
JPN-2012,JPN,OVEROBESE,MEASURED,2012,23.7
JPN-2013,JPN,OVEROBESE,MEASURED,2013,24.1
JPN-2014,JPN,OVEROBESE,MEASURED,2014,24.7
JPN-2015,JPN,OVEROBESE,MEASURED,2015,23.8
JPN-2016,JPN,OVEROBESE,MEASURED,2016,25.4
JPN-2017,JPN,OVEROBESE,MEASURED,2017,25.9
JPN-2018,JPN,OVEROBESE,MEASURED,2018,26.7
JPN-2019,JPN,OVEROBESE,MEASURED,2019,27.2
KOR-1998,KOR,OVEROBESE,MEASURED,1998,24.3
KOR-2001,KOR,OVEROBESE,MEASURED,2001,29.4
KOR-2005,KOR,OVEROBESE,MEASURED,2005,30.5
KOR-2007,KOR,OVEROBESE,MEASURED,2007,31.0
KOR-2008,KOR,OVEROBESE,MEASURED,2008,30.1
KOR-2009,KOR,OVEROBESE,MEASURED,2009,30.5
KOR-2010,KOR,OVEROBESE,MEASURED,2010,30.2
KOR-2011,KOR,OVEROBESE,MEASURED,2011,30.7
KOR-2012,KOR,OVEROBESE,MEASURED,2012,31.8
KOR-2013,KOR,OVEROBESE,MEASURED,2013,31.5
KOR-2014,KOR,OVEROBESE,MEASURED,2014,30.8
KOR-2015,KOR,OVEROBESE,MEASURED,2015,33.4
KOR-2016,KOR,OVEROBESE,MEASURED,2016,34.5
KOR-2017,KOR,OVEROBESE,MEASURED,2017,33.7
KOR-2018,KOR,OVEROBESE,MEASURED,2018,34.3
KOR-2019,KOR,OVEROBESE,MEASURED,2019,33.7
KOR-2020,KOR,OVEROBESE,MEASURED,2020,37.8
KOR-2008,KOR,OVEROBESE,SELFREPORTED,2008,21.4
KOR-2009,KOR,OVEROBESE,SELFREPORTED,2009,22.3
KOR-2010,KOR,OVEROBESE,SELFREPORTED,2010,22.6
KOR-2011,KOR,OVEROBESE,SELFREPORTED,2011,23.3
KOR-2012,KOR,OVEROBESE,SELFREPORTED,2012,24.1
KOR-2013,KOR,OVEROBESE,SELFREPORTED,2013,24.4
KOR-2014,KOR,OVEROBESE,SELFREPORTED,2014,25.0
KOR-2015,KOR,OVEROBESE,SELFREPORTED,2015,26.1
KOR-2016,KOR,OVEROBESE,SELFREPORTED,2016,27.3
KOR-2017,KOR,OVEROBESE,SELFREPORTED,2017,27.7
KOR-2018,KOR,OVEROBESE,SELFREPORTED,2018,30.6
MEX-2000,MEX,OVEROBESE,MEASURED,2000,62.3
MEX-2005,MEX,OVEROBESE,MEASURED,2005,69.3
MEX-2006,MEX,OVEROBESE,MEASURED,2006,69.5
MEX-2007,MEX,OVEROBESE,MEASURED,2007,65.6
MEX-2008,MEX,OVEROBESE,MEASURED,2008,65.1
MEX-2012,MEX,OVEROBESE,MEASURED,2012,71.3
MEX-2016,MEX,OVEROBESE,MEASURED,2016,72.5
MEX-2018,MEX,OVEROBESE,MEASURED,2018,75.2
MEX-2020,MEX,OVEROBESE,MEASURED,2020,74.1
NLD-1990,NLD,OVEROBESE,SELFREPORTED,1990,34.9
NLD-1991,NLD,OVEROBESE,SELFREPORTED,1991,35.1
NLD-1992,NLD,OVEROBESE,SELFREPORTED,1992,36.5
NLD-1993,NLD,OVEROBESE,SELFREPORTED,1993,36.4
NLD-1994,NLD,OVEROBESE,SELFREPORTED,1994,38.3
NLD-1995,NLD,OVEROBESE,SELFREPORTED,1995,37.9
NLD-1996,NLD,OVEROBESE,SELFREPORTED,1996,38.9
NLD-1997,NLD,OVEROBESE,SELFREPORTED,1997,40.5
NLD-1998,NLD,OVEROBESE,SELFREPORTED,1998,40.5
NLD-1999,NLD,OVEROBESE,SELFREPORTED,1999,42.3
NLD-2000,NLD,OVEROBESE,SELFREPORTED,2000,44.1
NLD-2001,NLD,OVEROBESE,SELFREPORTED,2001,44.8
NLD-2002,NLD,OVEROBESE,SELFREPORTED,2002,44.8
NLD-2003,NLD,OVEROBESE,SELFREPORTED,2003,46.1
NLD-2004,NLD,OVEROBESE,SELFREPORTED,2004,46.5
NLD-2005,NLD,OVEROBESE,SELFREPORTED,2005,44.9
NLD-2006,NLD,OVEROBESE,SELFREPORTED,2006,46.5
NLD-2007,NLD,OVEROBESE,SELFREPORTED,2007,45.5
NLD-2008,NLD,OVEROBESE,SELFREPORTED,2008,46.9
NLD-2009,NLD,OVEROBESE,SELFREPORTED,2009,47.2
NLD-2010,NLD,OVEROBESE,SELFREPORTED,2010,48.2
NLD-2011,NLD,OVEROBESE,SELFREPORTED,2011,48.2
NLD-2012,NLD,OVEROBESE,SELFREPORTED,2012,47.9
NLD-2013,NLD,OVEROBESE,SELFREPORTED,2013,45.6
NLD-2014,NLD,OVEROBESE,SELFREPORTED,2014,48.2
NLD-2015,NLD,OVEROBESE,SELFREPORTED,2015,47.4
NLD-2016,NLD,OVEROBESE,SELFREPORTED,2016,47.6
NLD-2017,NLD,OVEROBESE,SELFREPORTED,2017,47.3
NLD-2018,NLD,OVEROBESE,SELFREPORTED,2018,48.5
NLD-2019,NLD,OVEROBESE,SELFREPORTED,2019,48.4
NLD-2020,NLD,OVEROBESE,SELFREPORTED,2020,48.4
NZL-1997,NZL,OVEROBESE,MEASURED,1997,53.8
NZL-2003,NZL,OVEROBESE,MEASURED,2003,60.5
NZL-2007,NZL,OVEROBESE,MEASURED,2007,62.5
NZL-2009,NZL,OVEROBESE,MEASURED,2009,64.7
NZL-2012,NZL,OVEROBESE,MEASURED,2012,64.4
NZL-2013,NZL,OVEROBESE,MEASURED,2013,64.9
NZL-2014,NZL,OVEROBESE,MEASURED,2014,65.2
NZL-2015,NZL,OVEROBESE,MEASURED,2015,65.8
NZL-2016,NZL,OVEROBESE,MEASURED,2016,67.0
NZL-2017,NZL,OVEROBESE,MEASURED,2017,66.9
NZL-2018,NZL,OVEROBESE,MEASURED,2018,67.1
NZL-2019,NZL,OVEROBESE,MEASURED,2019,65.5
NZL-2020,NZL,OVEROBESE,MEASURED,2020,66.4
NOR-1995,NOR,OVEROBESE,SELFREPORTED,1995,33.0
NOR-1998,NOR,OVEROBESE,SELFREPORTED,1998,37.0
NOR-2002,NOR,OVEROBESE,SELFREPORTED,2002,42.0
NOR-2005,NOR,OVEROBESE,SELFREPORTED,2005,45.0
NOR-2008,NOR,OVEROBESE,SELFREPORTED,2008,46.0
NOR-2012,NOR,OVEROBESE,SELFREPORTED,2012,46.0
NOR-2015,NOR,OVEROBESE,SELFREPORTED,2015,46.0
NOR-2019,NOR,OVEROBESE,SELFREPORTED,2019,48.0
POL-1996,POL,OVEROBESE,SELFREPORTED,1996,43.1
POL-2004,POL,OVEROBESE,SELFREPORTED,2004,45.3
POL-2009,POL,OVEROBESE,SELFREPORTED,2009,52.2
POL-2014,POL,OVEROBESE,SELFREPORTED,2014,53.3
POL-2019,POL,OVEROBESE,SELFREPORTED,2019,56.6
PRT-1999,PRT,OVEROBESE,SELFREPORTED,1999,49.6
PRT-2006,PRT,OVEROBESE,SELFREPORTED,2006,51.6
PRT-2014,PRT,OVEROBESE,SELFREPORTED,2014,52.8
PRT-2019,PRT,OVEROBESE,SELFREPORTED,2019,53.5
SVK-2004,SVK,OVEROBESE,MEASURED,2004,50.1
SVK-2005,SVK,OVEROBESE,MEASURED,2005,51.6
SVK-2008,SVK,OVEROBESE,MEASURED,2008,51.5
SVK-2003,SVK,OVEROBESE,SELFREPORTED,2003,47.6
SVK-2009,SVK,OVEROBESE,SELFREPORTED,2009,50.8
SVK-2014,SVK,OVEROBESE,SELFREPORTED,2014,54.2
SVK-2019,SVK,OVEROBESE,SELFREPORTED,2019,57.7
ESP-1993,ESP,OVEROBESE,SELFREPORTED,1993,43.1
ESP-1995,ESP,OVEROBESE,SELFREPORTED,1995,44.4
ESP-1997,ESP,OVEROBESE,SELFREPORTED,1997,45.3
ESP-2001,ESP,OVEROBESE,SELFREPORTED,2001,48.3
ESP-2003,ESP,OVEROBESE,SELFREPORTED,2003,48.4
ESP-2006,ESP,OVEROBESE,SELFREPORTED,2006,51.1
ESP-2009,ESP,OVEROBESE,SELFREPORTED,2009,52.8
ESP-2011,ESP,OVEROBESE,SELFREPORTED,2011,52.7
ESP-2014,ESP,OVEROBESE,SELFREPORTED,2014,51.5
ESP-2017,ESP,OVEROBESE,SELFREPORTED,2017,53.0
ESP-2020,ESP,OVEROBESE,SELFREPORTED,2020,50.2
SWE-1998,SWE,OVEROBESE,SELFREPORTED,1998,40.4
SWE-1999,SWE,OVEROBESE,SELFREPORTED,1999,40.4
SWE-2000,SWE,OVEROBESE,SELFREPORTED,2000,42.7
SWE-2001,SWE,OVEROBESE,SELFREPORTED,2001,42.7
SWE-2002,SWE,OVEROBESE,SELFREPORTED,2002,44.7
SWE-2003,SWE,OVEROBESE,SELFREPORTED,2003,43.1
SWE-2004,SWE,OVEROBESE,SELFREPORTED,2004,42.8
SWE-2005,SWE,OVEROBESE,SELFREPORTED,2005,44.3
SWE-2006,SWE,OVEROBESE,SELFREPORTED,2006,43.4
SWE-2007,SWE,OVEROBESE,SELFREPORTED,2007,44.6
SWE-2008,SWE,OVEROBESE,SELFREPORTED,2008,44.9
SWE-2009,SWE,OVEROBESE,SELFREPORTED,2009,45.5
SWE-2010,SWE,OVEROBESE,SELFREPORTED,2010,46.4
SWE-2011,SWE,OVEROBESE,SELFREPORTED,2011,46.3
SWE-2012,SWE,OVEROBESE,SELFREPORTED,2012,47.1
SWE-2013,SWE,OVEROBESE,SELFREPORTED,2013,46.9
SWE-2014,SWE,OVEROBESE,SELFREPORTED,2014,46.5
SWE-2015,SWE,OVEROBESE,SELFREPORTED,2015,48.3
SWE-2016,SWE,OVEROBESE,SELFREPORTED,2016,48.8
SWE-2017,SWE,OVEROBESE,SELFREPORTED,2017,48.2
SWE-2018,SWE,OVEROBESE,SELFREPORTED,2018,49.9
SWE-2019,SWE,OVEROBESE,SELFREPORTED,2019,49.1
SWE-2020,SWE,OVEROBESE,SELFREPORTED,2020,50.0
CHE-1992,CHE,OVEROBESE,SELFREPORTED,1992,30.3
CHE-1997,CHE,OVEROBESE,SELFREPORTED,1997,34.9
CHE-2002,CHE,OVEROBESE,SELFREPORTED,2002,37.1
CHE-2007,CHE,OVEROBESE,SELFREPORTED,2007,37.3
CHE-2012,CHE,OVEROBESE,SELFREPORTED,2012,41.0
CHE-2017,CHE,OVEROBESE,SELFREPORTED,2017,41.8
GBR-1991,GBR,OVEROBESE,MEASURED,1991,49.0
GBR-1992,GBR,OVEROBESE,MEASURED,1992,50.0
GBR-1993,GBR,OVEROBESE,MEASURED,1993,52.9
GBR-1994,GBR,OVEROBESE,MEASURED,1994,53.1
GBR-1995,GBR,OVEROBESE,MEASURED,1995,54.5
GBR-1996,GBR,OVEROBESE,MEASURED,1996,56.2
GBR-1997,GBR,OVEROBESE,MEASURED,1997,56.9
GBR-1998,GBR,OVEROBESE,MEASURED,1998,57.7
GBR-1999,GBR,OVEROBESE,MEASURED,1999,57.9
GBR-2000,GBR,OVEROBESE,MEASURED,2000,60.0
GBR-2001,GBR,OVEROBESE,MEASURED,2001,61.6
GBR-2002,GBR,OVEROBESE,MEASURED,2002,60.6
GBR-2003,GBR,OVEROBESE,MEASURED,2003,60.5
GBR-2004,GBR,OVEROBESE,MEASURED,2004,61.8
GBR-2005,GBR,OVEROBESE,MEASURED,2005,60.5
GBR-2006,GBR,OVEROBESE,MEASURED,2006,61.6
GBR-2007,GBR,OVEROBESE,MEASURED,2007,60.8
GBR-2008,GBR,OVEROBESE,MEASURED,2008,61.4
GBR-2009,GBR,OVEROBESE,MEASURED,2009,61.3
GBR-2010,GBR,OVEROBESE,MEASURED,2010,62.8
GBR-2011,GBR,OVEROBESE,MEASURED,2011,61.7
GBR-2012,GBR,OVEROBESE,MEASURED,2012,61.9
GBR-2013,GBR,OVEROBESE,MEASURED,2013,62.1
GBR-2014,GBR,OVEROBESE,MEASURED,2014,61.7
GBR-2015,GBR,OVEROBESE,MEASURED,2015,62.9
GBR-2016,GBR,OVEROBESE,MEASURED,2016,61.4
GBR-2017,GBR,OVEROBESE,MEASURED,2017,64.3
GBR-2018,GBR,OVEROBESE,MEASURED,2018,63.3
GBR-2019,GBR,OVEROBESE,MEASURED,2019,64.2
USA-1991,USA,OVEROBESE,MEASURED,1991,55.9
USA-2000,USA,OVEROBESE,MEASURED,2000,64.5
USA-2002,USA,OVEROBESE,MEASURED,2002,65.6
USA-2004,USA,OVEROBESE,MEASURED,2004,66.2
USA-2006,USA,OVEROBESE,MEASURED,2006,67.3
USA-2008,USA,OVEROBESE,MEASURED,2008,67.9
USA-2010,USA,OVEROBESE,MEASURED,2010,68.8
USA-2012,USA,OVEROBESE,MEASURED,2012,68.6
USA-2014,USA,OVEROBESE,MEASURED,2014,70.1
USA-2016,USA,OVEROBESE,MEASURED,2016,71.0
USA-2019,USA,OVEROBESE,MEASURED,2019,73.1
USA-1997,USA,OVEROBESE,SELFREPORTED,1997,55.2
USA-1998,USA,OVEROBESE,SELFREPORTED,1998,56.3
USA-1999,USA,OVEROBESE,SELFREPORTED,1999,57.5
USA-2000,USA,OVEROBESE,SELFREPORTED,2000,57.7
USA-2001,USA,OVEROBESE,SELFREPORTED,2001,59.1
USA-2002,USA,OVEROBESE,SELFREPORTED,2002,59.4
USA-2003,USA,OVEROBESE,SELFREPORTED,2003,59.9
USA-2004,USA,OVEROBESE,SELFREPORTED,2004,60.0
USA-2005,USA,OVEROBESE,SELFREPORTED,2005,60.9
USA-2006,USA,OVEROBESE,SELFREPORTED,2006,61.1
USA-2007,USA,OVEROBESE,SELFREPORTED,2007,62.1
USA-2008,USA,OVEROBESE,SELFREPORTED,2008,62.7
USA-2009,USA,OVEROBESE,SELFREPORTED,2009,63.7
USA-2010,USA,OVEROBESE,SELFREPORTED,2010,63.2
USA-2011,USA,OVEROBESE,SELFREPORTED,2011,63.3
USA-2012,USA,OVEROBESE,SELFREPORTED,2012,63.6
USA-2013,USA,OVEROBESE,SELFREPORTED,2013,63.3
USA-2014,USA,OVEROBESE,SELFREPORTED,2014,64.4
USA-2015,USA,OVEROBESE,SELFREPORTED,2015,64.0
USA-2016,USA,OVEROBESE,SELFREPORTED,2016,65.3
USA-2017,USA,OVEROBESE,SELFREPORTED,2017,65.7
USA-2018,USA,OVEROBESE,SELFREPORTED,2018,66.2
USA-2019,USA,OVEROBESE,SELFREPORTED,2019,66.6
USA-2020,USA,OVEROBESE,SELFREPORTED,2020,67.5
CHL-2003,CHL,OVEROBESE,MEASURED,2003,62.3
CHL-2009,CHL,OVEROBESE,MEASURED,2009,64.5
CHL-2016,CHL,OVEROBESE,MEASURED,2016,74.2
