LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
COL-1998,6.9,6.6,,,,,,,,
COL-1999,6.5,6.3,,,,,,,,
COL-2000,6.8,4.5,,,,12.4,,,,
COL-2001,6.8,4.3,,,,12.2,,,,
COL-2002,6.3,4.3,,,,11.4,,,,
COL-2003,6.1,4.1,,,,10.7,,,,
COL-2004,6.3,4.1,,,,12.7,,,,
COL-2005,5.8,4.3,,,,13.7,,,,
COL-2006,5.7,4.4,,,,13.6,,,,
COL-2007,5.5,4.5,,,,14.3,,,,
COL-2008,5.5,4.4,,,,15.1,,17.1,,
COL-2009,5.5,4.2,,,,13.7,,,,
COL-2010,5.0,4.2,,,,13.5,,,1.6,
COL-2011,4.8,4.3,,,,72.0,,,1.6,
COL-2012,4.9,4.4,,,,82.3,,,1.7,
COL-2013,4.7,4.3,,,,84.0,,13.0,2.0,
COL-2014,4.9,4.2,48.0,22.4,84.4,86.9,,,2.1,
COL-2015,5.3,4.2,49.6,21.6,83.8,90.2,,,2.2,2325.3
COL-2016,5.4,4.5,47.5,22.2,82.5,96.4,,,2.3,2315.4
COL-2017,5.7,4.2,46.2,22.5,83.0,97.2,,,2.4,2284.5
COL-2018,6.0,4.2,44.8,23.4,82.0,98.5,,,2.5,2283.3
COL-2019,5.9,4.1,43.3,23.8,81.4,105.4,,,,2272.2
CRI-1990,7.6,6.1,74.9,11.9,77.7,,,16.6,,2358.0
CRI-1991,6.6,6.1,76.0,10.8,79.3,,,16.2,0.0,2272.0
CRI-1992,7.1,5.6,73.7,12.2,78.4,,,15.8,0.0,2359.0
CRI-1993,7.5,5.6,72.0,13.0,80.0,,,15.5,0.0,2346.0
CRI-1994,6.9,6.1,71.3,13.5,78.0,,,15.1,0.0,2370.0
CRI-1995,7.4,5.9,70.2,14.5,78.2,,,14.7,,2345.0
CRI-1996,7.0,5.6,70.9,13.4,80.6,,,14.3,,2387.0
CRI-1997,6.3,5.6,69.6,14.8,82.1,,,13.8,,2365.0
CRI-1998,7.1,5.6,68.2,17.3,81.0,,,13.4,,2356.0
CRI-1999,7.1,5.4,67.8,17.0,81.6,,,12.9,,2370.0
CRI-2000,7.5,4.2,69.6,16.4,82.2,18.1,,12.5,,2362.0
CRI-2001,6.7,4.3,68.3,17.8,83.6,17.9,,,,2329.0
CRI-2002,8.2,4.2,67.2,18.4,84.7,17.3,,,,2357.0
CRI-2003,9.0,4.1,65.9,19.2,83.8,17.5,,,,2350.0
CRI-2004,8.9,4.1,65.9,19.8,81.8,17.7,,,,2369.0
CRI-2005,7.3,4.1,64.9,20.8,84.5,18.7,,,,2352.0
CRI-2006,8.7,4.2,64.3,21.0,83.8,17.7,,15.8,,2360.0
CRI-2007,6.4,4.3,63.0,21.8,84.0,17.7,,15.5,,2387.0
CRI-2008,6.4,4.3,61.9,22.3,83.2,16.9,,15.1,,2392.0
CRI-2009,6.6,4.1,61.1,23.4,84.3,15.2,,14.8,,2348.0
CRI-2010,7.2,3.7,63.1,21.0,83.6,14.5,,14.4,,2243.1
CRI-2011,7.2,3.3,62.6,21.6,81.2,115.7,,13.7,1.7,2285.3
CRI-2012,6.8,3.2,60.9,23.2,82.2,114.5,,13.0,1.7,2233.4
CRI-2013,7.1,3.1,59.7,23.3,82.0,112.6,,12.3,1.7,2140.6
CRI-2014,5.9,3.2,59.5,23.5,82.3,128.0,,11.7,1.6,2121.7
CRI-2015,6.7,3.2,60.6,23.1,81.2,124.9,,11.0,1.6,2148.2
CRI-2016,7.0,3.4,60.1,23.0,80.6,126.2,,10.5,0.3,2204.7
CRI-2017,5.7,3.3,60.5,23.0,80.8,129.5,,10.0,0.5,2178.9
CRI-2018,7.9,3.3,60.8,22.6,80.9,142.8,,9.5,0.5,2121.0
CRI-2019,7.8,3.1,57.3,25.1,82.2,144.5,,8.9,,2059.6
CRI-2020,7.0,3.2,57.3,25.1,76.8,139.2,,8.4,,1913.2
CZE-1990,22.3,11.3,,,,5.8,,,14.0,
CZE-1991,20.8,11.5,,,,6.8,,,15.1,
CZE-1992,21.4,11.8,,,,9.9,,,15.3,
CZE-1993,20.6,11.5,,,,15.1,47.1,26.1,15.6,1857.0
CZE-1994,19.8,11.6,17.3,10.1,90.7,19.4,,,15.7,1839.0
CZE-1995,18.2,11.5,16.6,10.6,91.9,31.3,,,0.1,1831.7
CZE-1996,16.3,11.6,,,,33.2,45.8,26.2,0.1,1829.4
CZE-1997,17.0,11.9,15.0,10.6,89.3,34.5,,,0.1,1837.9
CZE-1998,16.4,11.8,14.7,10.4,88.7,34.8,,,0.2,1860.9
CZE-1999,16.4,11.9,14.0,10.8,87.4,35.2,50.2,23.5,0.3,1890.6
CZE-2000,16.5,11.8,14.1,11.0,86.8,38.5,45.0,,0.3,1900.3
CZE-2001,16.1,11.8,13.8,11.1,87.8,44.9,,,0.3,1823.3
CZE-2002,15.3,11.9,12.1,11.9,87.1,45.8,51.1,24.1,0.3,1812.2
CZE-2003,17.1,12.1,13.6,12.0,86.5,53.1,,27.2,0.3,1799.0
CZE-2004,15.4,11.5,10.9,12.3,86.4,58.7,,25.4,0.3,1813.7
CZE-2005,15.2,12.0,10.1,13.1,85.8,71.5,52.0,24.3,0.5,1802.9
CZE-2006,13.4,11.9,9.7,13.5,85.1,76.0,,23.4,0.5,1789.2
CZE-2007,13.1,12.1,9.5,13.7,85.2,90.1,,24.0,0.5,1775.0
CZE-2008,13.0,12.1,9.1,14.5,85.1,115.1,56.0,21.8,0.6,1789.6
CZE-2009,13.6,12.1,8.6,15.5,84.3,120.2,,23.8,0.8,1778.8
CZE-2010,13.9,11.4,8.1,16.8,83.3,117.2,55.0,22.8,0.8,1799.1
CZE-2011,14.7,11.5,7.7,18.2,83.1,115.4,,21.7,0.8,1805.5
CZE-2012,15.2,11.6,7.5,19.3,83.6,119.1,,22.9,1.0,1776.4
CZE-2013,14.5,11.5,7.2,20.5,84.9,139.6,,22.2,0.7,1764.3
CZE-2014,13.7,11.9,6.8,21.5,84.5,154.2,55.4,22.3,0.8,1773.8
CZE-2015,12.6,11.5,6.8,22.2,84.8,155.8,,18.2,0.8,1751.5
CZE-2016,12.0,11.7,6.6,23.0,85.6,166.9,,19.6,0.8,1774.0
CZE-2017,12.8,11.6,6.2,23.9,86.0,160.1,,18.4,0.9,1776.4
CZE-2018,12.3,11.8,6.1,24.3,87.3,163.1,,21.1,18.8,1784.7
CZE-2019,10.7,11.9,6.2,24.2,86.6,169.1,58.4,18.1,19.2,1786.0
CZE-2020,10.9,11.6,5.9,24.9,85.6,160.8,,16.6,,1703.6
DEU-1990,17.7,14.9,,,,150.0,,,3.5,
DEU-1991,17.7,13.9,18.2,21.8,85.0,,,,3.1,1554.1
DEU-1992,16.8,13.8,18.1,21.4,84.7,144.8,,24.8,3.1,1565.1
DEU-1993,15.8,13.5,,,,150.5,,,3.1,1540.2
DEU-1994,15.7,13.4,16.0,22.1,83.4,158.5,,,3.0,1536.6
