LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val
ARG-1990,9.3,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1991,8.2,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1992,9.0,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1993,9.3,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1994,8.7,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1995,8.4,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1996,8.4,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1997,8.1,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1998,8.4,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
ARG-1999,8.4,9.371016813450751,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,596.5297643424535,151.14027704402497,1156.0645820960683,212.16575029498543,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,18.987507,7150.795484848483,17.667929487179503,20.15874919614149,87.07542608874712
