LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Pov_Val,Smoking_Val,Soc_Spend_Val,Soc_Sup_Val,Work_Hour_Val
AUS-2019,13.3,10.5,17.1,47.1,12868,489.9,,0.1,11.2,,95.8,1722.3
AUS-2020,12.4,9.8,16.2,49.3,12663.5,545.1,,0.1,12.3,,95.8,1683.1
AUT-1990,24.7,14,18.9,28,3412,135.8,,,14.3,2.2,94.9,
AUT-1991,23.6,14,19.6,29.9,3471,144.4,42,,16.8,2.2,95,
AUT-1992,23.4,13.6,15.4,25.4,3543,152,,,,2.2,93.7,
AUT-1993,22.4,13.5,13.8,24.8,3566,162,61.8,0.1,13.4,2.2,95.8,
AUT-1994,23.2,12.5,16.3,29.9,3698,170.4,59.4,0.1,12.1,2.1,95.8,
AUT-1995,23.1,13.4,15.2,24.8,3729,181,45.8,0.1,11.3,2.1,95.8,1653
AUT-1996,23.1,13.5,19.8,28,3679,189.3,52.3,0.1,10.8,2,95.8,1683
AUT-1997,20.4,12.9,24.5,25.4,3684,194,51.2,0.1,10.4,2,95.8,1691
AUT-1998,20.1,12.9,28.8,24.8,3689,207.8,49.8,0.1,10.2,1.9,95.8,1671
AUT-1999,19.9,12.8,31.2,,3731,217.4,54.2,0.1,10.1,2,95.8,1675
AUT-2000,20.1,13.2,33,25.4,3741,237.5,51.3,0.1,9.3,2.1,94.9,1675
AUT-2001,18.6,12.3,29,28,3708,247.3,52.8,0.1,9.8,2,,1663
AUT-2002,19.2,12.1,28,29.9,3757,269.7,51.6,0.1,28.2,2,,1661
AUT-2003,18,12.3,25,29.9,3790,281.2,49.9,0.1,25.9,2,95.8,1652
AUT-2004,17.3,12.1,23.7,24.8,3732,312.4,50.1,0.1,,2,95.8,1655
AUT-2005,16.8,12.2,23.1,24.6,3747.4,311,51.2,,,2,95.8,1632
AUT-2006,15.2,12.5,19.9,25.4,3826,319.5,50.2,,25.5,2,95.8,1617
AUT-2007,15.1,12.5,20.1,25.1,3923.6,333.7,48.5,0.1,,2,,1606
AUT-2008,14.6,12,19.1,26.2,3994,343.8,47,0.1,24.5,2.1,92.7,1599
AUT-2009,14.6,11.8,18.4,29.9,3982.1,348.6,45.8,0.1,,2.2,87.1,1558
AUT-2010,14.4,12.1,17.6,27.7,4016.6,369.2,44.8,0.1,23.8,2.2,93.1,1552
AUT-2011,14.6,11.9,17.6,28,4052.4,377,43.4,0.1,,2.2,93.1,1557
AUT-2012,14.2,12.1,17.1,28.7,4084.4,396.6,42.8,0.1,,2.2,93.1,1535
AUT-2013,14.2,11.9,17,29.7,4104.6,422.6,41.4,0.1,22.4,2.2,93.1,1520
AUT-2014,14.3,12.2,16.1,29.9,4112.7,430.4,40.6,0.1,,2.2,93.1,1510
AUT-2015,13.4,11.2,15.4,30.6,4148.3,437,41.2,0.1,18.7,2.2,93.1,1495
AUT-2016,12.7,11.4,15.5,31.4,4220.2,460.5,,0.1,,2.2,93.1,1507
AUT-2017,12.8,11.3,15,32.4,4260.1,469.9,,0.1,17.3,2.2,93.1,1498
AUT-2018,12.5,11.3,14.7,32.7,4319,475.3,,0.1,,26.9,93.1,1502
