LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
DNK-1996,DNK,SOCEXP,1996,4.876
DNK-1997,DNK,SOCEXP,1997,4.614
DNK-1998,DNK,SOCEXP,1998,4.206
DNK-1999,DNK,SOCEXP,1999,3.977
DNK-2000,DNK,SOCEXP,2000,3.866
DNK-2001,DNK,SOCEXP,2001,3.849
DNK-2002,DNK,SOCEXP,2002,3.927
DNK-2003,DNK,SOCEXP,2003,4.356
DNK-2004,DNK,SOCEXP,2004,4.361
DNK-2005,DNK,SOCEXP,2005,3.935
DNK-2006,DNK,SOCEXP,2006,3.255
DNK-2007,DNK,SOCEXP,2007,4.502
DNK-2008,DNK,SOCEXP,2008,4.11
DNK-2009,DNK,SOCEXP,2009,5.081
DNK-2010,DNK,SOCEXP,2010,4.633
DNK-2011,DNK,SOCEXP,2011,4.465
DNK-2012,DNK,SOCEXP,2012,4.366
DNK-2013,DNK,SOCEXP,2013,5.075
DNK-2014,DNK,SOCEXP,2014,5.213
DNK-2015,DNK,SOCEXP,2015,4.657
DNK-2016,DNK,SOCEXP,2016,3.952
DNK-2017,DNK,SOCEXP,2017,3.805
DNK-1990,DNK,SOCEXP,1990,21.949
DNK-1991,DNK,SOCEXP,1991,22.404
DNK-1992,DNK,SOCEXP,1992,22.6
DNK-1993,DNK,SOCEXP,1993,23.791
DNK-1994,DNK,SOCEXP,1994,25.424
DNK-1995,DNK,SOCEXP,1995,25.513
DNK-1996,DNK,SOCEXP,1996,24.946
DNK-1997,DNK,SOCEXP,1997,24.156
DNK-1998,DNK,SOCEXP,1998,23.741
DNK-1999,DNK,SOCEXP,1999,24.547
DNK-2000,DNK,SOCEXP,2000,23.765
DNK-2001,DNK,SOCEXP,2001,24.29
DNK-2002,DNK,SOCEXP,2002,24.804
DNK-2003,DNK,SOCEXP,2003,25.328
DNK-2004,DNK,SOCEXP,2004,25.119
DNK-2005,DNK,SOCEXP,2005,25.195
DNK-2006,DNK,SOCEXP,2006,24.961
DNK-2007,DNK,SOCEXP,2007,25.912
DNK-2008,DNK,SOCEXP,2008,26.324
DNK-2009,DNK,SOCEXP,2009,29.282
DNK-2010,DNK,SOCEXP,2010,29.637
DNK-2011,DNK,SOCEXP,2011,29.776
DNK-2012,DNK,SOCEXP,2012,29.927
DNK-2013,DNK,SOCEXP,2013,29.892
DNK-2014,DNK,SOCEXP,2014,29.877
DNK-2015,DNK,SOCEXP,2015,29.869
DNK-2016,DNK,SOCEXP,2016,29.31
DNK-2017,DNK,SOCEXP,2017,29.164
DNK-2018,DNK,SOCEXP,2018,28.684
DNK-2019,DNK,SOCEXP,2019,28.299
DNK-1995,DNK,SOCEXP,1995,19.29
DNK-1997,DNK,SOCEXP,1997,18.322
DNK-1999,DNK,SOCEXP,1999,18.88
DNK-2001,DNK,SOCEXP,2001,18.597
DNK-2003,DNK,SOCEXP,2003,19.511
DNK-2005,DNK,SOCEXP,2005,19.456
DNK-2007,DNK,SOCEXP,2007,20.28
DNK-2009,DNK,SOCEXP,2009,23.383
DNK-2011,DNK,SOCEXP,2011,23.506
DNK-2013,DNK,SOCEXP,2013,23.543
DNK-2015,DNK,SOCEXP,2015,23.492
DNK-2017,DNK,SOCEXP,2017,22.869
DNK-1995,DNK,SOCEXP,1995,22.986
DNK-1997,DNK,SOCEXP,1997,21.598
DNK-1999,DNK,SOCEXP,1999,21.636
DNK-2001,DNK,SOCEXP,2001,20.877
DNK-2003,DNK,SOCEXP,2003,22.148
DNK-2005,DNK,SOCEXP,2005,21.821
DNK-2007,DNK,SOCEXP,2007,22.861
DNK-2009,DNK,SOCEXP,2009,26.413
DNK-2011,DNK,SOCEXP,2011,26.166
DNK-2013,DNK,SOCEXP,2013,26.593
DNK-2015,DNK,SOCEXP,2015,26.311
DNK-2017,DNK,SOCEXP,2017,25.201
DNK-1990,DNK,SOCEXP,1990,7946.749
DNK-1991,DNK,SOCEXP,1991,8202.206
DNK-1992,DNK,SOCEXP,1992,8408.1
DNK-1993,DNK,SOCEXP,1993,8821.559
DNK-1994,DNK,SOCEXP,1994,9897.243
DNK-1995,DNK,SOCEXP,1995,10185.465
DNK-1996,DNK,SOCEXP,1996,10185.744
DNK-1997,DNK,SOCEXP,1997,10140.639
DNK-1998,DNK,SOCEXP,1998,10152.704
DNK-1999,DNK,SOCEXP,1999,10770.49
DNK-2000,DNK,SOCEXP,2000,10783.385
DNK-2001,DNK,SOCEXP,2001,11072.939
DNK-2002,DNK,SOCEXP,2002,11319.996
DNK-2003,DNK,SOCEXP,2003,11573.89
DNK-2004,DNK,SOCEXP,2004,11756.602
DNK-2005,DNK,SOCEXP,2005,12031.897
DNK-2006,DNK,SOCEXP,2006,12345.391
DNK-2007,DNK,SOCEXP,2007,12877.764
DNK-2008,DNK,SOCEXP,2008,12937.728
DNK-2009,DNK,SOCEXP,2009,13611.076
DNK-2010,DNK,SOCEXP,2010,13972.907
DNK-2011,DNK,SOCEXP,2011,14167.161
DNK-2012,DNK,SOCEXP,2012,14217.996
DNK-2013,DNK,SOCEXP,2013,14277.778
DNK-2014,DNK,SOCEXP,2014,14424.687
DNK-2015,DNK,SOCEXP,2015,14657.153
DNK-2016,DNK,SOCEXP,2016,14727.797
DNK-2017,DNK,SOCEXP,2017,14854.304
FIN-1990,FIN,SOCEXP,1990,1.161
FIN-1991,FIN,SOCEXP,1991,1.192
FIN-1992,FIN,SOCEXP,1992,1.103
FIN-1993,FIN,SOCEXP,1993,1.602
FIN-1994,FIN,SOCEXP,1994,1.469
FIN-1995,FIN,SOCEXP,1995,1.457
FIN-1996,FIN,SOCEXP,1996,1.48
FIN-1997,FIN,SOCEXP,1997,1.42
FIN-1998,FIN,SOCEXP,1998,1.369
FIN-1999,FIN,SOCEXP,1999,1.337
FIN-2000,FIN,SOCEXP,2000,1.305
FIN-2001,FIN,SOCEXP,2001,1.295
FIN-2002,FIN,SOCEXP,2002,1.323
FIN-2003,FIN,SOCEXP,2003,1.352
FIN-2004,FIN,SOCEXP,2004,1.347
FIN-2005,FIN,SOCEXP,2005,1.286
FIN-2006,FIN,SOCEXP,2006,1.278
FIN-2007,FIN,SOCEXP,2007,1.249
FIN-2008,FIN,SOCEXP,2008,1.397
FIN-2009,FIN,SOCEXP,2009,1.581
FIN-2010,FIN,SOCEXP,2010,1.436
FIN-2011,FIN,SOCEXP,2011,1.458
FIN-2012,FIN,SOCEXP,2012,1.481
FIN-2013,FIN,SOCEXP,2013,1.477
FIN-2014,FIN,SOCEXP,2014,1.477
FIN-2015,FIN,SOCEXP,2015,1.531
FIN-2016,FIN,SOCEXP,2016,1.49
FIN-2017,FIN,SOCEXP,2017,1.341
FIN-2018,FIN,SOCEXP,2018,0.096
FIN-1990,FIN,SOCEXP,1990,23.331
FIN-1991,FIN,SOCEXP,1991,28.248
FIN-1992,FIN,SOCEXP,1992,32.199
FIN-1993,FIN,SOCEXP,1993,32.206
FIN-1994,FIN,SOCEXP,1994,31.503
FIN-1995,FIN,SOCEXP,1995,28.843
FIN-1996,FIN,SOCEXP,1996,28.669
FIN-1997,FIN,SOCEXP,1997,26.557
FIN-1998,FIN,SOCEXP,1998,24.465
FIN-1999,FIN,SOCEXP,1999,23.808
FIN-2000,FIN,SOCEXP,2000,22.618
FIN-2001,FIN,SOCEXP,2001,22.441
FIN-2002,FIN,SOCEXP,2002,23.192
FIN-2003,FIN,SOCEXP,2003,23.839
FIN-2004,FIN,SOCEXP,2004,23.951
FIN-2005,FIN,SOCEXP,2005,23.926
FIN-2006,FIN,SOCEXP,2006,23.74
FIN-2007,FIN,SOCEXP,2007,22.81
FIN-2008,FIN,SOCEXP,2008,23.323
FIN-2009,FIN,SOCEXP,2009,26.902
FIN-2010,FIN,SOCEXP,2010,27.36
FIN-2011,FIN,SOCEXP,2011,27.024
FIN-2012,FIN,SOCEXP,2012,28.285
FIN-2013,FIN,SOCEXP,2013,29.398
FIN-2014,FIN,SOCEXP,2014,30.121
FIN-2015,FIN,SOCEXP,2015,30.506
FIN-2016,FIN,SOCEXP,2016,30.449
FIN-2017,FIN,SOCEXP,2017,29.626
FIN-2018,FIN,SOCEXP,2018,29.275
FIN-2019,FIN,SOCEXP,2019,29.132
FIN-1995,FIN,SOCEXP,1995,21.428
FIN-1997,FIN,SOCEXP,1997,19.764
FIN-1999,FIN,SOCEXP,1999,18.022
FIN-2001,FIN,SOCEXP,2001,17.309
FIN-2003,FIN,SOCEXP,2003,18.451
FIN-2005,FIN,SOCEXP,2005,18.68
FIN-2007,FIN,SOCEXP,2007,18.014
FIN-2009,FIN,SOCEXP,2009,21.641
FIN-2011,FIN,SOCEXP,2011,21.507
FIN-2013,FIN,SOCEXP,2013,23.26
FIN-2015,FIN,SOCEXP,2015,24.218
FIN-2017,FIN,SOCEXP,2017,23.47
FIN-1995,FIN,SOCEXP,1995,22.44
FIN-1997,FIN,SOCEXP,1997,20.757
FIN-1999,FIN,SOCEXP,1999,18.883
FIN-2001,FIN,SOCEXP,2001,18.217
FIN-2003,FIN,SOCEXP,2003,19.415
FIN-2005,FIN,SOCEXP,2005,19.619
FIN-2007,FIN,SOCEXP,2007,18.94
FIN-2009,FIN,SOCEXP,2009,22.868
FIN-2011,FIN,SOCEXP,2011,22.61
FIN-2013,FIN,SOCEXP,2013,24.384
FIN-2015,FIN,SOCEXP,2015,25.375
FIN-2017,FIN,SOCEXP,2017,24.503
FIN-1990,FIN,SOCEXP,1990,7248.181
FIN-1991,FIN,SOCEXP,1991,8214.149
FIN-1992,FIN,SOCEXP,1992,9003.654
FIN-1993,FIN,SOCEXP,1993,8902.828
FIN-1994,FIN,SOCEXP,1994,9014.596
FIN-1995,FIN,SOCEXP,1995,8568.84
FIN-1996,FIN,SOCEXP,1996,8800.346
FIN-1997,FIN,SOCEXP,1997,8642.791
FIN-1998,FIN,SOCEXP,1998,8374.072
FIN-1999,FIN,SOCEXP,1999,8486.292
FIN-2000,FIN,SOCEXP,2000,8510.169
FIN-2001,FIN,SOCEXP,2001,8644.33
FIN-2002,FIN,SOCEXP,2002,9063.966
FIN-2003,FIN,SOCEXP,2003,9480.781
FIN-2004,FIN,SOCEXP,2004,9876.956
FIN-2005,FIN,SOCEXP,2005,10106.309
FIN-2006,FIN,SOCEXP,2006,10391.758
FIN-2007,FIN,SOCEXP,2007,10469.172
FIN-2008,FIN,SOCEXP,2008,10738.22
FIN-2009,FIN,SOCEXP,2009,11331.512
FIN-2010,FIN,SOCEXP,2010,11837.52
FIN-2011,FIN,SOCEXP,2011,11934.631
FIN-2012,FIN,SOCEXP,2012,12258.114
FIN-2013,FIN,SOCEXP,2013,12567.665
FIN-2014,FIN,SOCEXP,2014,12774.642
FIN-2015,FIN,SOCEXP,2015,12965.501
FIN-2016,FIN,SOCEXP,2016,13269.114
FIN-2017,FIN,SOCEXP,2017,13301.726
FRA-1990,FRA,SOCEXP,1990,1.975
FRA-1991,FRA,SOCEXP,1991,2.003
FRA-1992,FRA,SOCEXP,1992,2.053
FRA-1993,FRA,SOCEXP,1993,2.143
FRA-1994,FRA,SOCEXP,1994,2.167
FRA-1995,FRA,SOCEXP,1995,2.297
FRA-1996,FRA,SOCEXP,1996,2.396
FRA-1997,FRA,SOCEXP,1997,2.328
FRA-1998,FRA,SOCEXP,1998,2.336
FRA-1999,FRA,SOCEXP,1999,2.326
FRA-2000,FRA,SOCEXP,2000,2.653
FRA-2001,FRA,SOCEXP,2001,2.695
FRA-2002,FRA,SOCEXP,2002,2.799
FRA-2003,FRA,SOCEXP,2003,2.796
FRA-2004,FRA,SOCEXP,2004,2.829
FRA-2005,FRA,SOCEXP,2005,2.961
FRA-2006,FRA,SOCEXP,2006,3.276
FRA-2007,FRA,SOCEXP,2007,3.228
FRA-2008,FRA,SOCEXP,2008,3.248
FRA-2009,FRA,SOCEXP,2009,3.434
FRA-2010,FRA,SOCEXP,2010,3.444
FRA-2011,FRA,SOCEXP,2011,3.472
FRA-2012,FRA,SOCEXP,2012,3.534
FRA-2013,FRA,SOCEXP,2013,3.579
FRA-2014,FRA,SOCEXP,2014,3.595
FRA-2015,FRA,SOCEXP,2015,3.58
FRA-2016,FRA,SOCEXP,2016,3.601
FRA-2017,FRA,SOCEXP,2017,3.562
FRA-2018,FRA,SOCEXP,2018,3.574
FRA-1990,FRA,SOCEXP,1990,24.397
FRA-1991,FRA,SOCEXP,1991,25.034
FRA-1992,FRA,SOCEXP,1992,25.772
FRA-1993,FRA,SOCEXP,1993,27.172
FRA-1994,FRA,SOCEXP,1994,27.212
FRA-1995,FRA,SOCEXP,1995,28.488
FRA-1996,FRA,SOCEXP,1996,28.777
FRA-1997,FRA,SOCEXP,1997,28.645
FRA-1998,FRA,SOCEXP,1998,28.855
FRA-1999,FRA,SOCEXP,1999,28.828
FRA-2000,FRA,SOCEXP,2000,27.705
FRA-2001,FRA,SOCEXP,2001,27.691
FRA-2002,FRA,SOCEXP,2002,28.409
FRA-2003,FRA,SOCEXP,2003,28.788
FRA-2004,FRA,SOCEXP,2004,28.862
FRA-2005,FRA,SOCEXP,2005,28.825
FRA-2006,FRA,SOCEXP,2006,28.431
FRA-2007,FRA,SOCEXP,2007,28.279
FRA-2008,FRA,SOCEXP,2008,28.52
FRA-2009,FRA,SOCEXP,2009,31.021
FRA-2010,FRA,SOCEXP,2010,31.084
FRA-2011,FRA,SOCEXP,2011,30.776
FRA-2012,FRA,SOCEXP,2012,31.211
FRA-2013,FRA,SOCEXP,2013,31.705
FRA-2014,FRA,SOCEXP,2014,32.027
FRA-2015,FRA,SOCEXP,2015,31.791
FRA-2016,FRA,SOCEXP,2016,31.847
FRA-2017,FRA,SOCEXP,2017,31.5
FRA-2018,FRA,SOCEXP,2018,31.077
FRA-2019,FRA,SOCEXP,2019,30.987
FRA-2001,FRA,SOCEXP,2001,24.896
FRA-2003,FRA,SOCEXP,2003,25.887
FRA-2005,FRA,SOCEXP,2005,25.897
FRA-2007,FRA,SOCEXP,2007,25.553
FRA-2009,FRA,SOCEXP,2009,28.215
FRA-2011,FRA,SOCEXP,2011,27.663
FRA-2013,FRA,SOCEXP,2013,28.188
FRA-2015,FRA,SOCEXP,2015,28.247
FRA-2017,FRA,SOCEXP,2017,27.809
FRA-2001,FRA,SOCEXP,2001,27.396
FRA-2003,FRA,SOCEXP,2003,28.483
FRA-2005,FRA,SOCEXP,2005,28.635
FRA-2007,FRA,SOCEXP,2007,28.594
FRA-2009,FRA,SOCEXP,2009,31.358
FRA-2011,FRA,SOCEXP,2011,30.933
FRA-2013,FRA,SOCEXP,2013,31.551
FRA-2015,FRA,SOCEXP,2015,31.613
FRA-2017,FRA,SOCEXP,2017,31.152
FRA-1990,FRA,SOCEXP,1990,7755.037
FRA-1991,FRA,SOCEXP,1991,8000.778
FRA-1992,FRA,SOCEXP,1992,8327.162
FRA-1993,FRA,SOCEXP,1993,8686.598
FRA-1994,FRA,SOCEXP,1994,8871.519
FRA-1995,FRA,SOCEXP,1995,9448.71
FRA-1996,FRA,SOCEXP,1996,9645.085
FRA-1997,FRA,SOCEXP,1997,9790.368
FRA-1998,FRA,SOCEXP,1998,10178.59
FRA-1999,FRA,SOCEXP,1999,10462.66
FRA-2000,FRA,SOCEXP,2000,10378.418
FRA-2001,FRA,SOCEXP,2001,10502.365
FRA-2002,FRA,SOCEXP,2002,10818.015
FRA-2003,FRA,SOCEXP,2003,10974.641
FRA-2004,FRA,SOCEXP,2004,11231.11
FRA-2005,FRA,SOCEXP,2005,11317.579
FRA-2006,FRA,SOCEXP,2006,11357.324
FRA-2007,FRA,SOCEXP,2007,11499.153
FRA-2008,FRA,SOCEXP,2008,11561.866
FRA-2009,FRA,SOCEXP,2009,12152.258
FRA-2010,FRA,SOCEXP,2010,12353.279
FRA-2011,FRA,SOCEXP,2011,12437.83
FRA-2012,FRA,SOCEXP,2012,12591.526
FRA-2013,FRA,SOCEXP,2013,12798.343
FRA-2014,FRA,SOCEXP,2014,12988.71
FRA-2015,FRA,SOCEXP,2015,12983.549
FRA-2016,FRA,SOCEXP,2016,13100.009
FRA-2017,FRA,SOCEXP,2017,13208.095
FRA-2018,FRA,SOCEXP,2018,13224.562
DEU-1990,DEU,SOCEXP,1990,3.455
DEU-1991,DEU,SOCEXP,1991,3.108
DEU-1992,DEU,SOCEXP,1992,3.121
DEU-1993,DEU,SOCEXP,1993,3.11
DEU-1994,DEU,SOCEXP,1994,3.026
DEU-1995,DEU,SOCEXP,1995,3.161
DEU-1996,DEU,SOCEXP,1996,2.958
DEU-1997,DEU,SOCEXP,1997,2.83
DEU-1998,DEU,SOCEXP,1998,2.808
DEU-1999,DEU,SOCEXP,1999,2.977
DEU-2000,DEU,SOCEXP,2000,3.059
DEU-2001,DEU,SOCEXP,2001,3.117
DEU-2002,DEU,SOCEXP,2002,3.099
DEU-2003,DEU,SOCEXP,2003,3.116
DEU-2004,DEU,SOCEXP,2004,3.054
DEU-2005,DEU,SOCEXP,2005,2.94
DEU-2006,DEU,SOCEXP,2006,2.79
DEU-2007,DEU,SOCEXP,2007,2.944
DEU-2008,DEU,SOCEXP,2008,3.217
DEU-2009,DEU,SOCEXP,2009,3.465
DEU-2010,DEU,SOCEXP,2010,3.406
DEU-2011,DEU,SOCEXP,2011,3.421
DEU-2012,DEU,SOCEXP,2012,3.559
DEU-2013,DEU,SOCEXP,2013,3.658
DEU-2014,DEU,SOCEXP,2014,3.557
DEU-2015,DEU,SOCEXP,2015,3.595
DEU-2016,DEU,SOCEXP,2016,3.637
DEU-2017,DEU,SOCEXP,2017,3.607
DEU-1990,DEU,SOCEXP,1990,21.35
DEU-1991,DEU,SOCEXP,1991,22.303
DEU-1992,DEU,SOCEXP,1992,24.011
DEU-1993,DEU,SOCEXP,1993,24.718
DEU-1994,DEU,SOCEXP,1994,24.899
DEU-1995,DEU,SOCEXP,1995,25.248
DEU-1996,DEU,SOCEXP,1996,25.854
DEU-1997,DEU,SOCEXP,1997,25.443
DEU-1998,DEU,SOCEXP,1998,25.388
DEU-1999,DEU,SOCEXP,1999,25.519
DEU-2000,DEU,SOCEXP,2000,25.467
DEU-2001,DEU,SOCEXP,2001,25.484
DEU-2002,DEU,SOCEXP,2002,26.163
DEU-2003,DEU,SOCEXP,2003,26.624
DEU-2004,DEU,SOCEXP,2004,26.02
DEU-2005,DEU,SOCEXP,2005,26.38
DEU-2006,DEU,SOCEXP,2006,25.106
DEU-2007,DEU,SOCEXP,2007,24.208
DEU-2008,DEU,SOCEXP,2008,24.353
DEU-2009,DEU,SOCEXP,2009,26.8
DEU-2010,DEU,SOCEXP,2010,26.046
DEU-2011,DEU,SOCEXP,2011,24.745
DEU-2012,DEU,SOCEXP,2012,24.652
DEU-2013,DEU,SOCEXP,2013,24.834
DEU-2014,DEU,SOCEXP,2014,24.773
DEU-2015,DEU,SOCEXP,2015,24.997
DEU-2016,DEU,SOCEXP,2016,25.254
DEU-2017,DEU,SOCEXP,2017,25.37
DEU-2018,DEU,SOCEXP,2018,25.342
DEU-2019,DEU,SOCEXP,2019,25.881
DEU-1995,DEU,SOCEXP,1995,22.166
DEU-1999,DEU,SOCEXP,1999,24.276
DEU-2001,DEU,SOCEXP,2001,24.083
DEU-2003,DEU,SOCEXP,2003,25.181
DEU-2005,DEU,SOCEXP,2005,24.66
DEU-2007,DEU,SOCEXP,2007,22.403
DEU-2009,DEU,SOCEXP,2009,24.47
DEU-2011,DEU,SOCEXP,2011,22.914
DEU-2013,DEU,SOCEXP,2013,23.181
DEU-2015,DEU,SOCEXP,2015,23.402
DEU-2017,DEU,SOCEXP,2017,23.757
DEU-1995,DEU,SOCEXP,1995,24.921
DEU-1999,DEU,SOCEXP,1999,26.872
DEU-2001,DEU,SOCEXP,2001,25.961
DEU-2003,DEU,SOCEXP,2003,27.091
DEU-2005,DEU,SOCEXP,2005,26.459
DEU-2007,DEU,SOCEXP,2007,24.169
DEU-2009,DEU,SOCEXP,2009,26.603
DEU-2011,DEU,SOCEXP,2011,24.7
DEU-2013,DEU,SOCEXP,2013,24.904
DEU-2015,DEU,SOCEXP,2015,24.963
DEU-2017,DEU,SOCEXP,2017,25.226
DEU-1990,DEU,SOCEXP,1990,8177.169
DEU-1991,DEU,SOCEXP,1991,7954.287
DEU-1992,DEU,SOCEXP,1992,8671.244
DEU-1993,DEU,SOCEXP,1993,8790.498
DEU-1994,DEU,SOCEXP,1994,9044.132
DEU-1995,DEU,SOCEXP,1995,9294.275
DEU-1996,DEU,SOCEXP,1996,9575.268
DEU-1997,DEU,SOCEXP,1997,9586.837
DEU-1998,DEU,SOCEXP,1998,9766.48
DEU-1999,DEU,SOCEXP,1999,10004.991
DEU-2000,DEU,SOCEXP,2000,10271.102
DEU-2001,DEU,SOCEXP,2001,10443.072
DEU-2002,DEU,SOCEXP,2002,10691.859
DEU-2003,DEU,SOCEXP,2003,10808.243
DEU-2004,DEU,SOCEXP,2004,10699.217
DEU-2005,DEU,SOCEXP,2005,10942.477
DEU-2006,DEU,SOCEXP,2006,10833.281
DEU-2007,DEU,SOCEXP,2007,10780.939
DEU-2008,DEU,SOCEXP,2008,10980.436
DEU-2009,DEU,SOCEXP,2009,11435.405
DEU-2010,DEU,SOCEXP,2010,11607.201
DEU-2011,DEU,SOCEXP,2011,11461.518
DEU-2012,DEU,SOCEXP,2012,11444.532
DEU-2013,DEU,SOCEXP,2013,11547.716
DEU-2014,DEU,SOCEXP,2014,11725.214
DEU-2015,DEU,SOCEXP,2015,11919.518
DEU-2016,DEU,SOCEXP,2016,12193.222
DEU-2017,DEU,SOCEXP,2017,12466.523
GRC-1990,GRC,SOCEXP,1990,1.987
GRC-1991,GRC,SOCEXP,1991,1.823
GRC-1992,GRC,SOCEXP,1992,1.799
GRC-1993,GRC,SOCEXP,1993,1.792
GRC-1994,GRC,SOCEXP,1994,1.831
GRC-1995,GRC,SOCEXP,1995,1.83
GRC-1996,GRC,SOCEXP,1996,1.811
GRC-1997,GRC,SOCEXP,1997,1.78
GRC-1998,GRC,SOCEXP,1998,1.833
GRC-1999,GRC,SOCEXP,1999,1.854
GRC-2000,GRC,SOCEXP,2000,0.045
GRC-2001,GRC,SOCEXP,2001,0.061
GRC-2002,GRC,SOCEXP,2002,0.059
GRC-2003,GRC,SOCEXP,2003,0.086
GRC-2004,GRC,SOCEXP,2004,0.088
GRC-2005,GRC,SOCEXP,2005,0.119
GRC-2006,GRC,SOCEXP,2006,0.607
GRC-2007,GRC,SOCEXP,2007,0.599
GRC-2008,GRC,SOCEXP,2008,0.858
GRC-2009,GRC,SOCEXP,2009,0.88
GRC-2010,GRC,SOCEXP,2010,1.113
GRC-2011,GRC,SOCEXP,2011,1.144
GRC-2012,GRC,SOCEXP,2012,1.098
GRC-2013,GRC,SOCEXP,2013,1.222
GRC-2014,GRC,SOCEXP,2014,1.137
GRC-2015,GRC,SOCEXP,2015,1.071
GRC-2016,GRC,SOCEXP,2016,1.002
GRC-2017,GRC,SOCEXP,2017,0.979
GRC-1990,GRC,SOCEXP,1990,15.721
GRC-1991,GRC,SOCEXP,1991,15.178
GRC-1992,GRC,SOCEXP,1992,15.389
GRC-1993,GRC,SOCEXP,1993,16.233
GRC-1994,GRC,SOCEXP,1994,16.259
GRC-1995,GRC,SOCEXP,1995,16.6
GRC-1996,GRC,SOCEXP,1996,17.011
GRC-1997,GRC,SOCEXP,1997,16.912
GRC-1998,GRC,SOCEXP,1998,17.461
GRC-1999,GRC,SOCEXP,1999,17.973
GRC-2000,GRC,SOCEXP,2000,17.768
GRC-2001,GRC,SOCEXP,2001,18.637
GRC-2002,GRC,SOCEXP,2002,18.359
GRC-2003,GRC,SOCEXP,2003,18.178
GRC-2004,GRC,SOCEXP,2004,18.309
GRC-2005,GRC,SOCEXP,2005,19.534
GRC-2006,GRC,SOCEXP,2006,19.379
GRC-2007,GRC,SOCEXP,2007,20.135
GRC-2008,GRC,SOCEXP,2008,21.571
GRC-2009,GRC,SOCEXP,2009,23.912
GRC-2010,GRC,SOCEXP,2010,24.806
GRC-2011,GRC,SOCEXP,2011,25.988
GRC-2012,GRC,SOCEXP,2012,27.021
GRC-2013,GRC,SOCEXP,2013,25.249
GRC-2014,GRC,SOCEXP,2014,25.309
GRC-2015,GRC,SOCEXP,2015,25.382
GRC-2016,GRC,SOCEXP,2016,25.58
GRC-2017,GRC,SOCEXP,2017,24.658
GRC-2018,GRC,SOCEXP,2018,24.13
GRC-2019,GRC,SOCEXP,2019,24.021
GRC-1990,GRC,SOCEXP,1990,3600.576
GRC-1991,GRC,SOCEXP,1991,3553.818
GRC-1992,GRC,SOCEXP,1992,3602.068
GRC-1993,GRC,SOCEXP,1993,3718.39
GRC-1994,GRC,SOCEXP,1994,3781.475
GRC-1995,GRC,SOCEXP,1995,3931.434
GRC-1996,GRC,SOCEXP,1996,4125.903
GRC-1997,GRC,SOCEXP,1997,4264.805
GRC-1998,GRC,SOCEXP,1998,4549.259
GRC-1999,GRC,SOCEXP,1999,4808.085
GRC-2000,GRC,SOCEXP,2000,4919.568
GRC-2001,GRC,SOCEXP,2001,5345.316
GRC-2002,GRC,SOCEXP,2002,5452.391
GRC-2003,GRC,SOCEXP,2003,5697.748
GRC-2004,GRC,SOCEXP,2004,6014.444
GRC-2005,GRC,SOCEXP,2005,6436.351
GRC-2006,GRC,SOCEXP,2006,6725.913
GRC-2007,GRC,SOCEXP,2007,7198.502
GRC-2008,GRC,SOCEXP,2008,7665.843
GRC-2009,GRC,SOCEXP,2009,8110.871
GRC-2010,GRC,SOCEXP,2010,7943.089
GRC-2011,GRC,SOCEXP,2011,7572.777
GRC-2012,GRC,SOCEXP,2012,7338.539
GRC-2013,GRC,SOCEXP,2013,6683.317
GRC-2014,GRC,SOCEXP,2014,6793.834
GRC-2015,GRC,SOCEXP,2015,6828.481
GRC-2016,GRC,SOCEXP,2016,6897.197
GRC-2017,GRC,SOCEXP,2017,6762.01
HUN-1999,HUN,SOCEXP,1999,0.19
HUN-2000,HUN,SOCEXP,2000,0.205
HUN-2001,HUN,SOCEXP,2001,0.206
HUN-2002,HUN,SOCEXP,2002,0.208
HUN-2003,HUN,SOCEXP,2003,0.252
HUN-2004,HUN,SOCEXP,2004,0.293
HUN-2005,HUN,SOCEXP,2005,0.284
HUN-2006,HUN,SOCEXP,2006,0.368
HUN-2007,HUN,SOCEXP,2007,0.385
HUN-2008,HUN,SOCEXP,2008,0.371
HUN-2009,HUN,SOCEXP,2009,0.427
HUN-2010,HUN,SOCEXP,2010,0.445
HUN-2011,HUN,SOCEXP,2011,0.426
HUN-2012,HUN,SOCEXP,2012,0.404
HUN-2013,HUN,SOCEXP,2013,0.388
HUN-2014,HUN,SOCEXP,2014,0.347
HUN-2015,HUN,SOCEXP,2015,0.333
HUN-2016,HUN,SOCEXP,2016,0.325
HUN-2017,HUN,SOCEXP,2017,0.285
HUN-2018,HUN,SOCEXP,2018,0.268
HUN-1999,HUN,SOCEXP,1999,20.854
HUN-2000,HUN,SOCEXP,2000,20.092
HUN-2001,HUN,SOCEXP,2001,19.771
HUN-2002,HUN,SOCEXP,2002,20.8
HUN-2003,HUN,SOCEXP,2003,21.79
HUN-2004,HUN,SOCEXP,2004,21.086
HUN-2005,HUN,SOCEXP,2005,21.864
HUN-2006,HUN,SOCEXP,2006,22.148
HUN-2007,HUN,SOCEXP,2007,22.419
HUN-2008,HUN,SOCEXP,2008,22.659
HUN-2009,HUN,SOCEXP,2009,23.25
HUN-2010,HUN,SOCEXP,2010,22.998
HUN-2011,HUN,SOCEXP,2011,22.305
HUN-2012,HUN,SOCEXP,2012,22.604
HUN-2013,HUN,SOCEXP,2013,22.224
HUN-2014,HUN,SOCEXP,2014,21.46
HUN-2015,HUN,SOCEXP,2015,20.439
HUN-2016,HUN,SOCEXP,2016,20.296
