LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
AUT-1991,AUT,SOCEXP,1991,2.179
AUT-1992,AUT,SOCEXP,1992,2.189
AUT-1993,AUT,SOCEXP,1993,2.174
AUT-1994,AUT,SOCEXP,1994,2.114
AUT-1995,AUT,SOCEXP,1995,2.056
AUT-1996,AUT,SOCEXP,1996,1.988
AUT-1997,AUT,SOCEXP,1997,1.951
AUT-1998,AUT,SOCEXP,1998,1.915
AUT-1999,AUT,SOCEXP,1999,2.016
AUT-2000,AUT,SOCEXP,2000,2.103
AUT-2001,AUT,SOCEXP,2001,2.031
AUT-2002,AUT,SOCEXP,2002,1.991
AUT-2003,AUT,SOCEXP,2003,1.996
AUT-2004,AUT,SOCEXP,2004,1.992
AUT-2005,AUT,SOCEXP,2005,1.979
AUT-2006,AUT,SOCEXP,2006,1.976
AUT-2007,AUT,SOCEXP,2007,2.043
AUT-2008,AUT,SOCEXP,2008,2.122
AUT-2009,AUT,SOCEXP,2009,2.21
AUT-2010,AUT,SOCEXP,2010,2.167
AUT-2011,AUT,SOCEXP,2011,2.16
AUT-2012,AUT,SOCEXP,2012,2.157
AUT-2013,AUT,SOCEXP,2013,2.211
AUT-2014,AUT,SOCEXP,2014,2.193
AUT-2015,AUT,SOCEXP,2015,2.227
AUT-2016,AUT,SOCEXP,2016,2.192
AUT-2017,AUT,SOCEXP,2017,2.206
AUT-1990,AUT,SOCEXP,1990,23.149
AUT-1991,AUT,SOCEXP,1991,23.47
AUT-1992,AUT,SOCEXP,1992,24.158
AUT-1993,AUT,SOCEXP,1993,25.471
AUT-1994,AUT,SOCEXP,1994,26.324
AUT-1995,AUT,SOCEXP,1995,26.276
AUT-1996,AUT,SOCEXP,1996,26.399
AUT-1997,AUT,SOCEXP,1997,25.854
AUT-1998,AUT,SOCEXP,1998,25.632
AUT-1999,AUT,SOCEXP,1999,25.954
AUT-2000,AUT,SOCEXP,2000,25.688
AUT-2001,AUT,SOCEXP,2001,25.751
AUT-2002,AUT,SOCEXP,2002,26.047
AUT-2003,AUT,SOCEXP,2003,26.584
AUT-2004,AUT,SOCEXP,2004,26.329
AUT-2005,AUT,SOCEXP,2005,25.952
AUT-2006,AUT,SOCEXP,2006,25.665
AUT-2007,AUT,SOCEXP,2007,25.086
AUT-2008,AUT,SOCEXP,2008,25.516
AUT-2009,AUT,SOCEXP,2009,27.467
AUT-2010,AUT,SOCEXP,2010,27.563
AUT-2011,AUT,SOCEXP,2011,26.744
AUT-2012,AUT,SOCEXP,2012,27.11
AUT-2013,AUT,SOCEXP,2013,27.517
AUT-2014,AUT,SOCEXP,2014,27.731
AUT-2015,AUT,SOCEXP,2015,27.735
