LocationTime,LOCATION,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY
AUT-2002,AUT,800.4340000000001,199.188,1555.208,269.70433333333335
AUT-2003,AUT,821.3496666666666,208.24699999999999,1603.7740000000001,281.166
AUT-2004,AUT,861.1560000000001,226.5196666666667,1710.3415,312.4053333333333
AUT-2005,AUT,884.1283333333334,229.27166666666665,1742.7475,311.0366666666667
AUT-2006,AUT,928.636,234.73233333333334,1822.2404999999999,319.52466666666663
AUT-2007,AUT,968.0236666666668,244.80433333333335,1902.587,333.70166666666665
AUT-2008,AUT,1029.194,250.491,2009.5165,343.81666666666666
AUT-2009,AUT,1051.5036666666667,252.74400000000003,2050.2174999999997,348.6413333333333
AUT-2010,AUT,1087.1633333333334,270.9146666666667,2134.6054999999997,369.24
AUT-2011,AUT,1108.07,278.2943333333333,2177.592,376.99133333333333
AUT-2012,AUT,1169.599,292.4703333333333,2299.2715,396.58199999999994
AUT-2013,AUT,1203.1846666666668,311.684,2388.6845,422.60499999999996
AUT-2014,AUT,1225.788,316.3103333333333,2434.3500000000004,430.44533333333334
AUT-2015,AUT,1247.6053333333332,321.6136666666667,2476.942,437.0226666666667
AUT-2016,AUT,1308.099,340.3433333333333,2602.942,460.52933333333334
AUT-2017,AUT,1338.6843333333334,346.39300000000003,2662.8695,469.8953333333334
AUT-2018,AUT,1401.006,345.7136666666666,2764.4415,475.288
AUT-2019,AUT,1435.2003333333334,342.3196666666667,2817.2445000000002,476.29600000000005
AUT-2020,AUT,1527.5796666666668,335.75866666666667,2947.1095,470.4936666666667
BEL-1990,BEL,,,654.5274999999999,
BEL-1991,BEL,,,714.234,
BEL-1992,BEL,403.7426666666666,,766.6774999999999,
BEL-1993,BEL,414.06500000000005,,795.7355,
BEL-1994,BEL,419.469,,814.65,
BEL-1995,BEL,455.2226666666667,,839.1335,137.533
BEL-1996,BEL,488.84366666666665,,887.9525,136.458
BEL-1997,BEL,483.057,,911.2705,157.79
BEL-1998,BEL,496.06633333333326,,944.7285,167.08633333333333
BEL-1999,BEL,526.927,,1009.8235,179.62166666666667
BEL-2000,BEL,598.3783333333333,,1153.0925,203.68333333333337
BEL-2001,BEL,631.502,,1206.182,205.9523333333333
BEL-2002,BEL,677.0763333333333,,1326.2315,240.41166666666666
BEL-2003,BEL,744.7026666666667,208.26566666666668,1455.97,259.2776666666667
BEL-2004,BEL,799.393,212.38066666666666,1547.766,265.7846666666666
BEL-2005,BEL,801.7776666666667,214.27366666666668,1556.6985,269.3546666666667
BEL-2006,BEL,822.1016666666668,222.53933333333336,1602.2455,279.39500000000004
BEL-2007,BEL,845.4346666666667,234.17133333333334,1658.3565,293.4696666666667
BEL-2008,BEL,923.3570000000001,242.45166666666668,1777.3404999999998,294.87
BEL-2009,BEL,972.4699999999999,250.5573333333333,1860.8,301.39666666666665
BEL-2010,BEL,1021.8549999999999,264.1703333333333,1959.3375,317.7036666666667
BEL-2011,BEL,1057.851,272.0276666666667,2032.1229999999998,330.231
BEL-2012,BEL,1109.836,279.182,2121.778,338.016
BEL-2013,BEL,1153.742,295.6366666666667,2220.639,360.0173333333333
BEL-2014,BEL,1194.4703333333334,301.4266666666667,2295.3195,369.0756666666666
BEL-2015,BEL,1257.6553333333334,306.71433333333334,2409.087,381.73600000000005
BEL-2016,BEL,1314.3173333333332,308.1603333333333,2504.8804999999998,388.93666666666667
BEL-2017,BEL,1346.9223333333332,312.2616666666667,2565.969,397.05699999999996
BEL-2018,BEL,1397.7513333333336,322.21133333333336,2662.991,410.90933333333334
BEL-2019,BEL,1384.5696666666665,345.5726666666667,2681.7675,436.6086666666667
BEL-2020,BEL,1456.7703333333332,295.0396666666666,2709.022,382.57733333333334
BGR-2003,BGR,149.13500000000002,93.032,316.64500000000004,95.295
BGR-2004,BGR,151.829,99.62966666666667,331.2055,102.30799999999999
BGR-2005,BGR,163.38633333333334,106.00266666666668,359.0945,109.343
BGR-2006,BGR,155.64233333333334,118.37433333333333,366.3485,121.92333333333333
BGR-2007,BGR,166.06,125.96833333333332,393.6255,129.69033333333334
BGR-2008,BGR,183.44433333333333,139.12266666666667,439.5345,142.91166666666666
BGR-2009,BGR,181.72133333333332,148.40200000000002,451.7275,152.76366666666667
BGR-2010,BGR,210.56499999999997,163.91299999999998,519.917,169.37933333333334
BGR-2011,BGR,225.44733333333332,184.43966666666665,572.3345,189.44233333333332
BGR-2012,BGR,231.87066666666666,217.04833333333337,631.9055,222.73299999999998
BGR-2013,BGR,254.92499999999998,187.907,623.303,193.94366666666667
BGR-2014,BGR,295.48966666666666,203.3323333333333,707.9305,209.7976666666667
BGR-2015,BGR,288.857,218.78633333333335,722.0070000000001,225.814
BGR-2016,BGR,314.7583333333334,245.9476666666667,802.9050000000001,253.84466666666665
BGR-2017,BGR,338.123,253.18966666666668,850.0944999999999,261.9396666666667
BGR-2018,BGR,369.09700000000004,245.702,887.117,255.64766666666665
BGR-2019,BGR,384.285,239.71333333333334,901.355,249.95166666666663
BGR-2020,BGR,469.47166666666664,264.249,1065.7515,274.36266666666666
BRA-2000,BRA,22.553,19.820999999999998,8.335,31.613999999999997
BRA-2001,BRA,22.301,20.5195,8.55,31.974
BRA-2002,BRA,23.0365,19.785999999999998,8.697,31.312
BRA-2003,BRA,23.1835,19.1895,8.189,30.911
BRA-2004,BRA,23.0685,19.1195,8.125,30.994
BRA-2005,BRA,22.4885,19.3795,8.035,31.529
BRA-2006,BRA,23.236,18.603,8.25,30.889
BRA-2007,BRA,22.987,17.904,8.202,31.114
BRA-2008,BRA,23.625500000000002,16.679000000000002,8.011,30.380499999999998
BRA-2009,BRA,23.9375,16.915,8.395,30.259999999999998
BRA-2010,BRA,24.3,15.860000000000001,7.945,29.6725
BRA-2011,BRA,190.87566666666666,125.64466666666665,593.241,237.95166666666668
BRA-2012,BRA,192.37400000000002,131.624,615.1700000000001,251.0726666666667
BRA-2013,BRA,209.1196666666667,132.16833333333332,653.5955,259.9436666666667
BRA-2014,BRA,218.6293333333333,139.47666666666666,692.4175,276.316
BRA-2015,BRA,212.28366666666668,121.04166666666667,684.854,263.64
BRA-2016,BRA,208.20266666666666,117.96500000000002,674.5825000000001,265.84566666666666
BRA-2017,BRA,209.104,122.40833333333335,700.4215,275.98900000000003
BRA-2018,BRA,212.30533333333335,128.00866666666667,723.457,287.777
BRA-2019,BRA,219.005,133.302,753.674,300.152
CAN-1990,CAN,447.6363333333333,90.19066666666667,854.084,155.08633333333333
CAN-1991,CAN,474.1413333333333,93.80033333333334,907.145,163.95533333333333
CAN-1992,CAN,493.897,98.24633333333333,953.394,175.03233333333333
CAN-1993,CAN,492.3823333333333,104.44200000000001,970.0524999999999,187.6526666666667
CAN-1994,CAN,493.5016666666666,110.61966666666667,985.529,196.851
CAN-1995,CAN,495.1093333333333,115.134,996.7515,202.72466666666665
CAN-1996,CAN,495.7896666666666,117.70233333333334,1004.0705,206.92433333333335
CAN-1997,CAN,511.6580000000001,127.40599999999999,1050.1575,221.78
CAN-1998,CAN,540.7166666666667,128.90099999999998,1104.5075,228.95466666666667
CAN-1999,CAN,554.9453333333333,135.779,1143.2915,240.5823333333333
CAN-2000,CAN,596.8306666666666,141.63366666666667,1229.4205,256.11633333333333
CAN-2001,CAN,635.0153333333334,145.08166666666668,1316.459,275.95733333333334
CAN-2002,CAN,661.9440000000001,152.02633333333333,1383.461,293.69666666666666
CAN-2003,CAN,704.9030000000001,153.695,1461.6085,302.836
CAN-2004,CAN,752.7049999999999,164.674,1565.731,324.44866666666667
CAN-2005,CAN,791.982,174.22266666666667,1650.4734999999998,341.6666666666667
CAN-2006,CAN,832.2869999999999,190.24566666666666,1747.9815,366.36733333333336
CAN-2007,CAN,885.902,198.52066666666667,1859.53,387.118
CAN-2008,CAN,920.552,204.34866666666665,1929.576,399.16533333333336
CAN-2009,CAN,949.0286666666666,204.87733333333333,1978.296,403.16866666666664
CAN-2010,CAN,994.3336666666668,220.14033333333336,2083.1155000000003,427.74333333333334
CAN-2011,CAN,1015.9369999999999,217.77066666666667,2119.6850000000004,430.51933333333335
CAN-2012,CAN,1044.517,220.24966666666668,2173.382,437.73766666666666
CAN-2013,CAN,1070.3956666666666,219.13,2219.584,442.6603333333334
CAN-2014,CAN,1093.481,225.90366666666668,2273.534,455.542
CAN-2015,CAN,1117.797,230.91666666666666,2323.0144999999998,464.21266666666673
CAN-2016,CAN,1197.4333333333332,265.60266666666666,2527.654,521.0026666666666
CAN-2017,CAN,1222.959,269.4916666666667,2580.666,530.8183333333334
CAN-2018,CAN,1261.9563333333333,274.64433333333335,2659.6009999999997,544.4443333333334
CAN-2019,CAN,1232.9376666666665,265.6526666666667,2600.3354999999997,533.9526666666667
CAN-2020,CAN,1484.6873333333333,246.17966666666666,2920.6319999999996,495.734
CHE-1990,CHE,,,1071.8205,
CHE-1991,CHE,,,1171.3609999999999,
CHE-1992,CHE,,,1221.347,
CHE-1993,CHE,,,1250.4675,
CHE-1994,CHE,,,1317.6245,
CHE-1995,CHE,502.0443333333333,293.55966666666666,1309.8645000000001,404.532
CHE-1996,CHE,541.073,300.568,1387.75,417.42699999999996
CHE-1997,CHE,567.414,311.78066666666666,1441.3535,426.82166666666666
CHE-1998,CHE,592.1703333333334,322.27566666666667,1499.2825,440.68433333333337
CHE-1999,CHE,620.164,334.55199999999996,1556.4724999999999,450.818
CHE-2000,CHE,665.5066666666667,355.46,1667.7160000000001,479.63733333333334
CHE-2001,CHE,725.055,367.8343333333333,1781.8555,496.182
CHE-2002,CHE,812.0423333333333,387.031,1948.46,520.2646666666666
CHE-2003,CHE,826.9103333333334,384.05199999999996,1962.671,514.8706666666667
CHE-2004,CHE,865.7313333333333,404.34633333333335,2059.0950000000003,540.332
CHE-2005,CHE,886.1913333333333,381.46999999999997,2058.031,519.1626666666666
CHE-2006,CHE,904.3793333333333,396.02466666666663,2122.0265000000004,543.6383333333333
CHE-2007,CHE,979.4823333333333,428.8296666666667,2303.336,589.4083333333333
CHE-2008,CHE,1062.4706666666666,442.91499999999996,2457.2695,609.042
CHE-2009,CHE,1104.1063333333334,451.47433333333333,2534.6495,618.9933333333333
CHE-2010,CHE,1114.1226666666666,453.853,2549.5775,618.9286666666666
CHE-2011,CHE,1159.9489999999998,459.0173333333333,2634.799,629.9166666666666
CHE-2012,CHE,1251.817,489.3353333333334,2787.7835,640.0383333333333
CHE-2013,CHE,1346.9283333333333,506.1413333333333,2967.188,664.5303333333333
